"id","country_id","code","name","state_code","locode"
72066,158,CAU,Cuautlancingo,PUE,MX CAU
72067,158,CBV,Caborca Viejo,SON,MX CBV
72068,158,CCG,Ciudad Camargo,CHH,MX CCG
72069,158,CCN,Coalcoman,MIC,MX CCN
72070,158,CCS,Charcas,SLP,MX CCS
72071,158,CCT,Chilchota,MIC,MX CCT
72072,158,CCU,Ciudad Cuauthemoc,CHP,MX CCU
72073,158,CCZ,Chiapa de Corzo,CHP,MX CCZ
72074,158,CDC,Cunduacan,TAB,MX CDC
72075,158,CDD,Ciudad Madero,TAM,MX CDD
72076,158,CDF,Cienega de Flores,NLE,MX CDF
72077,158,CDG,Capilla de Guadalupe,JAL,MX CDG
72078,158,CDH,Cuautepec de Hinojosa,HID,MX CDH
72079,158,CDM,Chapa De Mota,MEX,MX CDM
72080,158,CDN,Cardenas,,MX CDN
72081,158,CDO,Concepcion del Oro,ZAC,MX CDO
72082,158,CDP,Cuetzalan del Progreso,PUE,MX CDP
72083,158,CDS,Ciudad del Sol,JAL,MX CDS
72084,158,CDU,Cordoba,VER,MX CDU
72085,158,CDV,Ciudad Valles,SLP,MX CDV
72086,158,CED,Cedros,BCN,MX CED
72087,158,CEN,Ciudad Obregon,SON,MX CEN
72088,158,CET,Celestun,YUC,MX CET
72089,158,CFJ,Chipilio de Francisco Javier Mina,PUE,MX CFJ
72090,158,CGF,Cienega de Flores,NLE,MX CGF
72091,158,CHA,Cholula,PUE,MX CHA
72092,158,CHH,Chahuites,OAX,MX CHH
72093,158,CHI,Chilpancingo,GRO,MX CHI
72094,158,CHL,Coahuila,SON,MX CHL
72095,158,CHM,Chamela,JAL,MX CHM
72096,158,CHN,China,CAM,MX CHN
72097,158,CHO,Choix,SIN,MX CHO
72098,158,CHP,Chachapa,PUE,MX CHP
72099,158,CHT,Cuauhtemoc,,MX CHT
72100,158,CHU,Cihuatlan,JAL,MX CHU
72101,158,CHV,Chavinda,MIC,MX CHV
72102,158,CIA,Ciudad Altamirano,GRO,MX CIA
72103,158,CIM,Lombardia,MIC,MX CIM
72104,158,CIO,Cutzio,MIC,MX CIO
72105,158,CJI,Cuajinicuilapa,GRO,MX CJI
72106,158,CJS,Ciudad Juarez,CHH,MX CJS
72107,158,CJT,Comitan,,MX CJT
72108,158,CLA,Contla,TLA,MX CLA
72109,158,CLK,Calkini,CAM,MX CLK
72110,158,CLM,Calimaya De Diaz Gonzalez,MEX,MX CLM
72111,158,CLN,Colon,QUE,MX CLN
72112,158,CLY,Celaya,GUA,MX CLY
72113,158,CMA,Ciudad Miguel Aleman,TAM,MX CMA
72114,158,CME,Ciudad del Carmen,CAM,MX CME
72115,158,CMH,Chimalhuacan (Santa Maria Chimalhuacan),MEX,MX CMH
72116,158,CML,Chimalapa,CHP,MX CML
72117,158,CMP,Cumpas,SON,MX CMP
72118,158,CNA,Cananea,SON,MX CNA
72119,158,CNS,Cienegas,AGU,MX CNS
72120,158,CNT,Cantarell,,MX CNT
72121,158,COA,Coatzacoalcos,VER,MX COA
72122,158,COB,Canadas de Obregon,JAL,MX COB
72123,158,COC,Coacalco,MEX,MX COC
72124,158,COE,Coroneo,GUA,MX COE
72125,158,COF,La Cofradia,JAL,MX COF
72126,158,COL,Colima,COL,MX COL
72127,158,COM,Puerto Costa Maya,ROO,MX COM
72128,158,CON,Comonfort,GUA,MX CON
72129,158,COO,Cerro de Ortega,COL,MX COO
72130,158,COP,Copainala,CHP,MX COP
72131,158,COQ,Coatepec,PUE,MX COQ
72132,158,COR,Corregidora,QUE,MX COR
72133,158,COS,Cosoleacaque,VER,MX COS
72134,158,COT,Cotija,MIC,MX COT
72135,158,CPA,Coatepec Harinas,MEX,MX CPA
72136,158,CPC,Chapultepec,VER,MX CPC
72137,158,CPE,Campeche,CAM,MX CPE
72138,158,CPL,Chapala,JAL,MX CPL
72139,158,CPM,Champoton,CAM,MX CPM
72140,158,CPT,Col Portales,,MX CPT
72141,158,CPX,Ciudad Pemex,TAB,MX CPX
72142,158,CQO,Cuquio,JAL,MX CQO
72143,158,CRI,Cedros Island,BCN,MX CRI
72144,158,CSG,Ciudad Sahagun,HID,MX CSG
72145,158,CSL,Cabo San Lucas,BCS,MX CSL
72146,158,CTA,Catavina,BCN,MX CTA
72147,158,CTC,Contepec,MEX,MX CTC
72148,158,CTG,Cuatrocienegas de Carranza,COA,MX CTG
72149,158,CTL,Cuautla,JAL,MX CTL
72150,158,CTM,Chetumal,ROO,MX CTM
72151,158,CTN,Cuautitlan,MEX,MX CTN
72152,158,CTP,Coatepac,VER,MX CTP
72153,158,CTR,Centro,TAB,MX CTR
72154,158,CTX,Cotaxtla,VER,MX CTX
72155,158,CTZ,Cortazar,GUA,MX CTZ
72156,158,CUA,Ciudad Constitucion,BCS,MX CUA
72157,158,CUE,Cuencame,DUR,MX CUE
72158,158,CUH,Cuautinchan,PUE,MX CUH
72159,158,CUI,Cuitlahuac,VER,MX CUI
72160,158,CUJ,Cuajimalpa,MEX,MX CUJ
72161,158,CUL,Culiacan,SIN,MX CUL
72162,158,CUM,Cuautla Morelos,MOR,MX CUM
72163,158,CUN,Cancun,ROO,MX CUN
72164,158,CUT,Cuautitlan Izcalli,MEX,MX CUT
72165,158,CUU,Chihuahua,CHH,MX CUU
72166,158,CVC,Cuernavaca,MOR,MX CVC
72167,158,CVM,Ciudad Victoria,TAM,MX CVM
72168,158,CVR,Calera Victor Rosales,ZAC,MX CVR
72169,158,CXC,San Cosme Xalostoc,TLA,MX CXC
72170,158,CYA,Coyoacan,DIF,MX CYA
72171,158,CZA,Chichen-Itza,,MX CZA
72172,158,CZM,Cozumel,ROO,MX CZM
72173,158,CZP,Temascalapa,MEX,MX CZP
72174,158,DBT,Dos Bocas Terminal,TAB,MX DBT
72175,158,DCS,Delicias,CHH,MX DCS
72176,158,DD5,Coahuila,SLP,MX DD5
